,wlobscd,ymdhm,wl,fw,links
0,1018610,201905312350,1.04,155.97,[]
1,1018610,201905312340,1.04,155.97,[]
2,1018610,201905312330,1.04,155.97,[]
3,1018610,201905312320,1.04,155.97,[]
4,1018610,201905312310,1.04,155.97,[]
5,1018610,201905312300,1.04,155.97,[]
6,1018610,201905312250,1.04,155.97,[]
7,1018610,201905312240,1.04,155.97,[]
8,1018610,201905312230,1.04,155.97,[]
9,1018610,201905312220,1.04,155.97,[]
10,1018610,201905312210,1.04,155.97,[]
11,1018610,201905312200,1.04,155.97,[]
12,1018610,201905312150,1.04,155.97,[]
13,1018610,201905312140,1.04,155.97,[]
14,1018610,201905312130,1.04,155.97,[]
15,1018610,201905312120,1.04,155.97,[]
16,1018610,201905312110,1.04,155.97,[]
17,1018610,201905312100,1.04,155.97,[]
18,1018610,201905312050,1.04,155.97,[]
19,1018610,201905312040,1.04,155.97,[]
20,1018610,201905312030,1.04,155.97,[]
21,1018610,201905312020,1.04,155.97,[]
22,1018610,201905312010,1.04,155.97,[]
23,1018610,201905312000,1.04,155.97,[]
24,1018610,201905311950,1.04,155.97,[]
25,1018610,201905311940,1.04,155.97,[]
26,1018610,201905311930,1.04,155.97,[]
27,1018610,201905311920,1.04,155.97,[]
28,1018610,201905311910,1.04,155.97,[]
29,1018610,201905311900,1.04,155.97,[]
30,1018610,201905311850,1.04,155.97,[]
31,1018610,201905311840,1.04,155.97,[]
32,1018610,201905311830,1.04,155.97,[]
33,1018610,201905311820,1.04,155.97,[]
34,1018610,201905311810,1.04,155.97,[]
35,1018610,201905311800,1.04,155.97,[]
36,1018610,201905311750,1.04,155.97,[]
37,1018610,201905311740,1.04,155.97,[]
38,1018610,201905311730,1.04,155.97,[]
39,1018610,201905311720,1.04,155.97,[]
40,1018610,201905311710,1.04,155.97,[]
41,1018610,201905311700,1.04,155.97,[]
42,1018610,201905311650,1.04,155.97,[]
43,1018610,201905311640,1.04,155.97,[]
44,1018610,201905311630,1.04,155.97,[]
45,1018610,201905311620,1.04,155.97,[]
46,1018610,201905311610,1.04,155.97,[]
47,1018610,201905311600,1.04,155.97,[]
48,1018610,201905311550,1.04,155.97,[]
49,1018610,201905311540,1.04,155.97,[]
50,1018610,201905311530,1.04,155.97,[]
51,1018610,201905311520,1.04,155.97,[]
52,1018610,201905311510,1.04,155.97,[]
53,1018610,201905311500,1.04,155.97,[]
54,1018610,201905311450,1.04,155.97,[]
55,1018610,201905311440,1.04,155.97,[]
56,1018610,201905311430,1.04,155.97,[]
57,1018610,201905311420,1.04,155.97,[]
58,1018610,201905311410,1.04,155.97,[]
59,1018610,201905311400,1.04,155.97,[]
60,1018610,201905311350,1.04,155.97,[]
61,1018610,201905311340,1.04,155.97,[]
62,1018610,201905311330,1.04,155.97,[]
63,1018610,201905311320,1.04,155.97,[]
64,1018610,201905311310,1.04,155.97,[]
65,1018610,201905311300,1.04,155.97,[]
66,1018610,201905311250,1.04,155.97,[]
67,1018610,201905311240,1.04,155.97,[]
68,1018610,201905311230,1.04,155.97,[]
69,1018610,201905311220,1.03,150.73,[]
70,1018610,201905311210,1.03,150.73,[]
71,1018610,201905311200,1.03,150.73,[]
72,1018610,201905311150,1.03,150.73,[]
73,1018610,201905311140,1.03,150.73,[]
74,1018610,201905311130,1.03,150.73,[]
75,1018610,201905311120,1.02,145.57,[]
76,1018610,201905311110,1.02,145.57,[]
77,1018610,201905311100,1.02,145.57,[]
78,1018610,201905311050,1.02,145.57,[]
79,1018610,201905311040,1.02,145.57,[]
80,1018610,201905311030,1.01,140.50,[]
81,1018610,201905311020,1.01,140.50,[]
82,1018610,201905311010,1.01,140.50,[]
83,1018610,201905311000,1.01,140.50,[]
84,1018610,201905310950,1.01,140.50,[]
85,1018610,201905310940,1.00,135.52,[]
86,1018610,201905310930,1.00,135.52,[]
87,1018610,201905310920,1.00,135.52,[]
88,1018610,201905310910,1.00,135.52,[]
89,1018610,201905310900,1.00,135.52,[]
90,1018610,201905310850,1.00,135.52,[]
91,1018610,201905310840,1.00,135.52,[]
92,1018610,201905310830,1.00,135.52,[]
93,1018610,201905310820,1.00,135.52,[]
94,1018610,201905310810,1.00,135.52,[]
95,1018610,201905310800,1.00,135.52,[]
96,1018610,201905310750,1.00,135.52,[]
97,1018610,201905310740,1.00,135.52,[]
98,1018610,201905310730,1.00,135.52,[]
