,wlobscd,ymdhm,wl,fw,links
0,1018640,201906302350,1.02,237.31,[]
1,1018640,201906302340,1.03,241.56,[]
2,1018640,201906302330,1.03,241.56,[]
3,1018640,201906302320,1.03,237.73,[]
4,1018640,201906302310,1.03,253.06,[]
5,1018640,201906302300,1.03,260.73,[]
6,1018640,201906302250,1.03,249.23,[]
7,1018640,201906302240,1.03,264.57,[]
8,1018640,201906302230,1.03,237.73,[]
9,1018640,201906302220,1.03,233.89,[]
10,1018640,201906302210,1.03,260.73,[]
11,1018640,201906302200,1.03,260.73,[]
12,1018640,201906302150,1.03,256.90,[]
13,1018640,201906302140,1.03,268.40,[]
14,1018640,201906302130,1.03,306.74,[]
15,1018640,201906302120,1.03,287.57,[]
16,1018640,201906302110,1.03,276.07,[]
17,1018640,201906302100,1.03,279.90,[]
18,1018640,201906302050,1.03,322.08,[]
19,1018640,201906302040,1.03,325.92,[]
20,1018640,201906302030,1.03,299.08,[]
21,1018640,201906302020,1.03,287.57,[]
22,1018640,201906302010,1.03,302.91,[]
23,1018640,201906302000,1.03,310.58,[]
24,1018640,201906301950,1.03,329.75,[]
25,1018640,201906301940,1.03,348.92,[]
26,1018640,201906301930,1.03,341.25,[]
27,1018640,201906301920,1.03,341.25,[]
28,1018640,201906301910,1.02,375.11,[]
29,1018640,201906301900,1.02,359.80,[]
30,1018640,201906301850,1.02,348.32,[]
31,1018640,201906301840,1.03,348.92,[]
32,1018640,201906301830,1.02,329.18,[]
33,1018640,201906301820,1.03,325.92,[]
34,1018640,201906301810,1.02,310.04,[]
35,1018640,201906301800,1.02,279.42,[]
36,1018640,201906301750,1.02,260.28,[]
37,1018640,201906301740,1.02,229.66,[]
38,1018640,201906301730,1.02,237.31,[]
39,1018640,201906301720,1.02,233.49,[]
40,1018640,201906301710,1.02,244.97,[]
41,1018640,201906301700,1.02,244.97,[]
42,1018640,201906301650,1.03,241.56,[]
43,1018640,201906301640,1.02,222.00,[]
44,1018640,201906301630,1.02,195.21,[]
45,1018640,201906301620,1.02,199.04,[]
46,1018640,201906301610,1.02,176.07,[]
47,1018640,201906301600,1.02,179.90,[]
48,1018640,201906301550,1.02,210.52,[]
49,1018640,201906301540,1.02,210.52,[]
50,1018640,201906301530,1.02,206.69,[]
51,1018640,201906301520,1.02,206.69,[]
52,1018640,201906301510,1.02,210.52,[]
53,1018640,201906301500,1.02,218.18,[]
54,1018640,201906301450,1.02,222.00,[]
55,1018640,201906301440,1.02,202.87,[]
56,1018640,201906301430,1.02,202.87,[]
57,1018640,201906301420,1.03,210.89,[]
58,1018640,201906301410,1.03,180.21,[]
59,1018640,201906301400,1.03,141.87,[]
60,1018640,201906301350,1.03,134.20,[]
61,1018640,201906301340,1.03,138.04,[]
62,1018640,201906301330,1.03,168.71,[]
63,1018640,201906301320,1.03,153.37,[]
64,1018640,201906301310,1.03,141.87,[]
65,1018640,201906301300,1.03,138.04,[]
66,1018640,201906301250,1.03,134.20,[]
67,1018640,201906301240,1.03,130.37,[]
